Date,Close
2020-11-08 00:00:00+00:00,453.5547790527344
2020-11-15 00:00:00+00:00,457.1634085518973
2020-11-22 00:00:00+00:00,501.24488612583707
2020-11-29 00:00:00+00:00,561.9030238560268
2020-12-06 00:00:00+00:00,597.8694893973214
2020-12-13 00:00:00+00:00,569.1223842075893
2020-12-20 00:00:00+00:00,629.5454624720982
2020-12-27 00:00:00+00:00,626.4118129185268
2021-01-03 00:00:00+00:00,775.9642944335938
2021-01-10 00:00:00+00:00,1191.5072195870537
2021-01-17 00:00:00+00:00,1159.7595389229912
2021-01-24 00:00:00+00:00,1285.3617989676338
2021-01-31 00:00:00+00:00,1334.3966761997767
2021-02-07 00:00:00+00:00,1592.9474225725446
2021-02-14 00:00:00+00:00,1786.4885428292412
2021-02-21 00:00:00+00:00,1880.295131138393
2021-02-28 00:00:00+00:00,1539.5045863560267
2021-03-07 00:00:00+00:00,1583.7506103515625
2021-03-14 00:00:00+00:00,1839.9271589006696
2021-03-21 00:00:00+00:00,1803.350620814732
2021-03-28 00:00:00+00:00,1667.064208984375
2021-04-04 00:00:00+00:00,1975.1612025669642
2021-04-11 00:00:00+00:00,2093.0893031529017
2021-04-18 00:00:00+00:00,2343.8201032366073
2021-04-25 00:00:00+00:00,2307.9940011160716
2021-05-02 00:00:00+00:00,2767.394287109375
2021-05-09 00:00:00+00:00,3573.5143694196427
2021-05-16 00:00:00+00:00,3846.6682477678573
2021-05-23 00:00:00+00:00,2677.6211286272323
2021-05-30 00:00:00+00:00,2580.7332938058034
2021-06-06 00:00:00+00:00,2706.2256905691966
2021-06-13 00:00:00+00:00,2488.876046316964
2021-06-20 00:00:00+00:00,2363.584298270089
2021-06-27 00:00:00+00:00,1908.9916294642858
2021-07-04 00:00:00+00:00,2189.4939313616073
2021-07-11 00:00:00+00:00,2193.7444196428573
2021-07-18 00:00:00+00:00,1936.724609375
2021-07-25 00:00:00+00:00,2018.050013950893
2021-08-01 00:00:00+00:00,2396.3179757254466
2021-08-08 00:00:00+00:00,2818.0521065848216
2021-08-15 00:00:00+00:00,3202.195138113839
2021-08-22 00:00:00+00:00,3161.3260323660716
2021-08-29 00:00:00+00:00,3222.708740234375
